Designator,Mid X,Mid Y,Layer,Rotation
U1,25.000,40.000,T,270
U2,45.000,20.000,T,0
U3,45.000,30.000,T,0
U4,45.000,40.000,T,0
U5,45.000,50.000,T,0
U6,65.000,25.000,T,0
U7,65.000,45.000,T,0
U8,25.000,55.000,T,0
U9,25.000,65.000,T,0
U10,25.000,75.000,T,0
J1,85.000,15.000,T,0
J2,85.000,25.000,T,0
J3,85.000,35.000,T,0
J4,85.000,45.000,T,0
J5,85.000,55.000,T,0
J6,85.000,65.000,T,0
J7,85.000,75.000,T,0
J8,85.000,85.000,T,0
C1,35.000,15.000,T,0
C2,35.000,25.000,T,0
C3,35.000,35.000,T,0
C4,35.000,45.000,T,0
C5,25.000,50.000,T,0
C6,25.000,60.000,T,0
R1,15.000,20.000,T,0
R2,15.000,30.000,T,0
R3,15.000,40.000,T,0
R4,15.000,50.000,T,0